timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1533222973.292,46.875,40.039,-303.223,44.922,31.738,0
1533222973.296,40.039,45.410,-430.664,41.504,65.430,0
1533222973.300,39.551,42.480,-129.395,41.504,70.801,0
1533222973.304,52.246,39.062,155.273,47.363,81.543,0
1533222973.308,54.199,39.551,153.809,47.852,85.938,0
1533222973.312,45.898,42.969,-333.008,40.039,80.566,0
1533222973.316,41.504,42.480,-522.461,38.086,13.184,0
1533222973.320,47.852,41.016,-171.875,40.527,-14.160,0
1533222973.324,53.223,41.016,33.691,42.969,-30.762,0
1533222973.328,48.340,42.480,165.527,43.457,-6.836,0
1533222973.332,34.180,39.062,-117.188,39.551,20.996,0
1533222973.335,23.926,38.574,-388.672,36.621,-33.691,0
1533222973.339,29.297,40.527,-309.082,35.645,-21.484,0
1533222973.343,39.551,36.621,21.973,39.062,33.203,0
1533222973.347,38.086,35.156,274.414,43.945,48.828,0
1533222973.351,23.926,38.086,-160.156,40.039,31.250,0
1533222973.355,13.184,37.109,-496.582,33.691,13.184,0
1533222973.359,14.160,32.715,-108.887,37.109,75.195,0
1533222973.363,30.273,34.668,187.500,40.039,106.445,0
1533222973.367,38.574,38.086,220.215,38.574,70.312,0
1533222973.371,27.344,36.133,-88.379,33.691,41.992,0
1533222973.374,19.531,32.715,-354.980,31.250,24.902,0
1533222973.378,23.926,34.180,-262.207,32.715,21.973,0
1533222973.382,35.156,35.156,0.000,40.039,-11.230,0
1533222973.386,39.062,30.762,176.270,44.922,-19.531,0
1533222973.390,35.645,27.344,-27.832,40.527,44.434,0
1533222973.394,30.273,35.645,-364.258,41.504,57.617,0
1533222973.398,36.621,37.109,-183.105,43.945,8.301,0
1533222973.402,48.828,27.832,155.762,47.852,-15.137,0
1533222973.406,44.434,25.391,237.793,49.805,-69.824,0
1533222973.410,39.551,27.832,40.039,50.781,-56.641,0
1533222973.414,33.203,35.156,-269.531,45.898,-17.090,0
1533222973.417,18.066,37.109,-264.160,24.414,-57.129,0
1533222973.421,24.414,38.574,8.789,21.484,-52.246,0
1533222973.425,33.691,39.062,302.246,26.367,68.848,0
1533222973.429,25.391,36.133,106.445,29.785,79.102,0
1533222973.433,19.043,36.621,-326.172,31.738,-1.465,0
1533222973.437,20.996,36.621,-345.215,28.320,23.438,0
1533222973.441,33.691,36.621,-43.945,33.203,6.348,0
1533222973.445,49.316,36.621,290.039,38.086,8.301,0
1533222973.449,49.316,31.738,204.590,38.574,97.168,0
1533222973.453,36.621,31.738,-267.578,38.574,23.926,0
1533222973.457,30.273,35.645,-306.152,38.086,-10.254,0
1533222973.460,47.363,36.621,-27.832,36.621,9.766,0
1533222973.464,56.152,37.598,202.148,39.551,19.531,0
1533222973.468,51.270,37.598,208.496,41.504,83.496,0
1533222973.472,47.852,38.086,-322.266,41.016,33.691,0
1533222973.476,32.227,39.062,-417.480,39.062,8.789,0
1533222973.480,31.738,37.598,-39.551,35.156,51.270,0
1533222973.484,49.805,37.109,179.688,34.668,26.855,0
1533222973.488,55.176,37.598,311.035,42.480,43.457,0
1533222973.492,36.621,36.133,-235.352,44.434,-12.207,0
1533222973.496,29.785,38.574,-451.660,35.645,-53.223,0
1533222973.499,40.039,38.574,76.660,31.738,34.180,0
1533222973.503,49.805,40.527,280.273,32.227,58.105,0
1533222973.507,48.340,40.039,251.465,33.691,45.410,0
1533222973.511,36.133,35.645,-31.738,30.273,53.711,0
1533222973.515,24.902,34.668,-241.699,27.344,64.453,0
1533222973.519,41.016,33.203,-92.773,30.273,34.668,0
1533222973.523,66.895,34.668,170.898,35.645,17.090,0
1533222973.527,51.270,36.621,224.121,36.133,13.184,0
1533222973.531,24.902,33.691,-48.340,35.156,36.133,0
1533222973.535,24.414,34.180,-185.547,32.227,59.082,0
1533222973.539,30.762,32.715,32.227,39.062,95.703,0
1533222973.542,41.016,28.320,256.348,41.992,104.492,0
1533222973.546,43.457,26.855,277.832,29.297,50.293,0
1533222973.550,26.367,25.879,-61.035,31.738,38.574,0
1533222973.554,28.320,31.738,-288.574,42.480,29.297,0
1533222973.558,47.852,36.133,-6.348,35.645,0.977,0
1533222973.562,45.410,33.691,308.594,22.461,23.926,0
1533222973.566,41.992,32.715,432.617,16.113,71.289,0
1533222973.570,40.527,34.668,158.203,25.879,45.898,0
1533222973.574,28.809,33.691,-215.820,33.691,14.160,0
1533222973.578,24.414,34.668,-88.867,21.973,41.016,0
1533222973.582,34.180,32.227,291.016,24.414,55.176,0
1533222973.585,36.133,29.785,478.516,27.832,49.805,0
1533222973.589,24.414,32.227,247.070,24.902,31.250,0
1533222973.593,19.531,29.785,-285.156,20.996,-57.617,0
1533222973.597,22.461,28.320,-99.609,21.973,-7.812,0
1533222973.601,26.855,30.273,377.441,25.879,85.938,0
1533222973.605,36.133,35.645,388.184,29.297,21.484,0
1533222973.609,31.738,36.621,254.883,37.109,1.953,0
1533222973.613,10.742,35.645,-29.785,35.156,14.648,0
1533222973.617,20.020,37.598,-78.613,31.250,25.391,0
1533222973.621,36.133,38.086,83.984,28.809,20.996,0
1533222973.624,41.992,38.086,320.801,31.250,20.020,0
1533222973.628,39.062,32.715,325.684,35.156,48.340,0
1533222973.632,26.855,32.227,-76.660,29.785,22.949,0
1533222973.636,32.227,32.227,-173.828,29.785,8.789,0
1533222973.640,52.246,30.273,86.426,39.062,24.414,0
1533222973.644,61.523,37.109,284.668,34.180,4.395,0
1533222973.648,59.570,37.598,234.375,24.902,-4.395,0
1533222973.652,51.758,39.062,-111.816,22.461,12.207,0
1533222973.656,44.922,41.504,-192.871,23.438,23.438,0
1533222973.660,52.734,40.039,41.504,24.902,47.852,0
1533222973.664,60.059,39.062,222.168,28.320,34.668,0
1533222973.667,55.176,36.621,248.535,39.551,1.953,0
1533222973.671,41.016,35.645,-99.121,30.762,4.395,0
1533222973.675,34.180,33.691,-365.723,19.043,58.594,0
1533222973.679,40.527,33.691,31.250,20.508,42.969,0
1533222973.683,45.410,36.621,476.074,25.879,-1.953,0
1533222973.687,40.527,34.668,443.848,26.855,27.832,0
1533222973.691,40.039,33.691,56.641,27.832,24.414,0
1533222973.695,29.785,34.668,-161.621,29.297,4.395,0
1533222973.699,30.762,35.156,77.148,27.832,57.129,0
1533222973.703,38.086,34.668,312.988,24.414,48.828,0
1533222973.707,40.527,34.668,346.191,25.879,-28.809,0
1533222973.710,32.227,33.203,36.133,29.297,-23.926,0
1533222973.714,19.531,35.156,-241.699,25.879,-21.973,0
1533222973.718,28.320,38.574,-56.641,28.809,-31.738,0
1533222973.722,37.598,39.062,281.738,34.668,4.883,0
1533222973.726,38.574,41.504,468.750,35.645,-4.883,0
1533222973.730,35.156,43.457,150.391,37.598,-21.973,0
1533222973.734,35.156,43.457,-293.457,34.668,-9.766,0
1533222973.738,30.273,39.062,-41.016,29.297,-21.484,0
1533222973.742,41.504,39.551,351.074,34.180,-12.695,0
1533222973.746,55.664,43.457,392.090,35.645,-34.180,0
1533222973.749,37.598,42.969,111.816,34.668,-45.898,0
1533222973.753,27.832,44.434,-167.969,35.645,21.973,0
1533222973.757,35.156,41.504,-99.121,34.180,28.320,0
1533222973.761,51.758,39.551,53.711,34.180,-19.043,0
1533222973.765,59.570,42.969,290.039,40.527,4.883,0
1533222973.769,49.316,43.945,253.418,36.621,53.711,0
1533222973.773,34.668,42.969,-333.984,24.414,-21.484,0
1533222973.777,32.227,40.039,-251.465,20.996,-25.879,0
1533222973.781,41.992,38.574,265.625,24.902,22.461,0
1533222973.785,46.387,40.039,370.605,28.320,34.180,0
1533222973.789,36.133,35.645,158.203,28.320,40.039,0
1533222973.792,32.227,30.273,-231.934,29.297,11.719,0
1533222973.796,28.320,30.762,-254.883,31.738,12.695,0
1533222973.800,32.227,31.738,12.207,29.785,7.812,0
1533222973.804,41.504,30.762,228.027,28.320,13.672,0
1533222973.808,35.156,31.738,39.062,27.344,11.230,0
1533222973.812,29.785,32.227,-245.605,28.809,44.922,0
1533222973.816,31.250,36.133,-188.965,28.809,104.980,0
1533222973.820,42.969,38.574,-36.133,33.203,12.207,0
1533222973.824,44.434,33.691,181.152,33.203,14.160,0
1533222973.828,41.504,29.785,151.855,27.344,46.387,0
1533222973.831,34.668,31.250,-340.332,23.926,45.410,0
1533222973.835,27.344,36.133,-425.781,24.414,112.305,0
1533222973.839,41.016,36.133,-35.156,31.250,60.059,0
1533222973.843,53.711,34.668,177.734,26.367,42.969,0
1533222973.847,56.641,36.133,124.023,22.461,36.133,0
1533222973.851,51.270,40.527,-234.863,28.809,23.438,0
1533222973.855,32.715,39.062,-438.965,29.297,54.199,0
1533222973.859,34.668,30.273,-249.512,30.762,24.902,0
1533222973.863,50.781,30.273,90.820,36.621,31.250,0
1533222973.867,48.828,34.668,177.246,37.109,18.066,0
1533222973.871,34.180,33.691,-252.441,37.109,9.766,0
1533222973.874,24.902,35.645,-558.105,31.250,37.598,0
1533222973.878,33.203,34.668,-215.820,28.809,-29.297,0
1533222973.882,42.480,30.273,159.180,35.645,-0.977,0
1533222973.886,43.945,32.715,117.188,38.086,27.344,0
1533222973.890,36.621,35.645,-275.391,38.574,-34.180,0
1533222973.894,31.738,35.156,-430.664,33.691,-7.812,0
1533222973.898,40.039,38.574,-238.770,29.785,17.090,0
1533222973.902,49.316,43.945,-57.617,31.250,8.789,0
1533222973.906,47.852,38.086,135.742,37.598,66.895,0
1533222973.910,42.480,36.133,-79.590,35.156,70.312,0
1533222973.914,35.156,39.551,-555.176,32.227,68.359,0
1533222973.917,34.180,36.133,-333.984,30.273,56.152,0
1533222973.921,35.645,36.621,85.449,25.391,31.738,0
1533222973.925,32.227,38.574,121.094,26.367,17.578,0
1533222973.929,23.926,34.668,-112.793,26.855,25.391,0
1533222973.933,11.230,31.738,-447.754,24.414,-41.992,0
1533222973.937,8.301,30.762,-321.289,24.414,-32.715,0
1533222973.941,17.578,28.320,9.277,24.902,44.434,0
1533222973.945,33.691,29.297,97.656,29.297,47.852,0
1533222973.949,33.203,30.273,-127.930,28.809,4.883,0
1533222973.953,13.672,31.250,-543.945,20.508,-33.203,0
1533222973.956,17.090,32.715,-378.906,16.113,20.508,0
1533222973.960,23.926,31.738,91.309,17.090,34.180,0
1533222973.964,21.484,32.715,185.547,20.996,1.953,0
1533222973.968,14.648,33.203,-4.395,19.043,-16.113,0
1533222973.972,2.930,31.738,-340.820,19.043,-16.113,0
1533222973.976,-3.418,28.320,-299.316,19.043,88.867,0
1533222973.980,3.418,29.785,-34.180,14.648,134.766,0
1533222973.984,12.207,31.250,89.355,18.555,41.992,0
1533222973.988,0.977,33.691,24.414,14.648,28.320,0
1533222973.992,0.000,36.133,-287.598,10.742,71.289,0
1533222973.996,-4.395,34.180,-468.262,14.160,3.418,0
1533222973.999,-0.488,29.785,-213.867,15.137,-59.570,0
1533222974.003,19.043,30.762,100.098,16.113,-18.066,0
1533222974.007,8.301,32.715,192.871,20.020,28.320,0
1533222974.011,-6.348,33.691,-288.086,16.113,-31.250,0
1533222974.015,-6.836,36.621,-469.727,6.348,-0.488,0
1533222974.019,6.836,36.133,15.137,10.254,23.438,0
1533222974.023,11.230,31.738,249.023,15.137,-24.902,0
1533222974.027,2.441,34.180,189.941,16.602,-24.414,0
1533222974.031,1.953,35.156,-154.785,20.508,32.715,0
1533222974.035,6.836,31.738,-302.734,17.090,77.148,0
1533222974.039,7.324,31.738,-41.016,17.578,107.422,0
1533222974.042,11.719,33.691,94.238,24.902,57.617,0
1533222974.046,13.672,34.668,155.273,20.020,21.484,0
1533222974.050,8.301,36.133,-57.129,13.184,64.941,0
1533222974.054,6.836,37.598,-295.898,17.578,70.312,0
1533222974.058,7.324,32.715,-79.590,19.043,63.965,0
1533222974.062,21.973,33.203,206.055,20.508,21.973,0
1533222974.066,25.391,31.738,298.340,25.391,-4.883,0
1533222974.070,21.973,31.250,-50.293,27.832,-9.277,0
1533222974.074,16.602,33.203,-375.000,26.855,-9.766,0
1533222974.078,17.578,36.621,-32.227,21.973,31.738,0
1533222974.081,33.203,38.574,333.008,20.996,58.105,0
1533222974.085,35.156,33.691,307.617,24.414,15.625,0
1533222974.089,26.855,32.715,5.371,26.855,33.691,0
1533222974.093,24.902,34.668,-341.309,21.973,74.707,0
1533222974.097,28.809,36.133,-110.840,21.973,25.879,0
