timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1533222972.289,41.992,38.574,137.695,33.691,6.348,0
1533222972.292,38.574,41.504,-190.430,31.738,-27.832,0
1533222972.296,30.273,39.062,-338.867,24.902,-33.203,0
1533222972.300,34.668,35.645,-124.023,26.367,21.973,0
1533222972.304,42.969,36.621,21.973,30.762,62.988,0
1533222972.308,41.992,36.621,98.145,26.855,67.871,0
1533222972.312,36.621,35.645,-64.941,24.902,-31.738,0
1533222972.316,29.785,34.668,-180.176,26.367,-9.277,0
1533222972.320,24.902,33.691,-197.754,21.484,50.781,0
1533222972.324,28.809,36.621,-38.574,16.602,50.781,0
1533222972.328,34.668,39.551,175.293,21.973,46.387,0
1533222972.332,29.297,38.086,-126.465,24.902,9.277,0
1533222972.335,26.367,38.574,-375.000,18.066,35.156,0
1533222972.339,20.508,40.039,-250.000,18.066,15.625,0
1533222972.343,22.461,36.621,-77.148,19.043,19.531,0
1533222972.347,35.645,36.621,145.996,24.414,72.754,0
1533222972.351,38.574,40.039,-49.316,29.785,20.996,0
1533222972.355,30.273,36.621,-373.047,26.855,6.836,0
1533222972.359,21.484,35.156,-418.945,22.949,45.410,0
1533222972.363,26.367,37.598,-237.305,22.461,21.484,0
1533222972.367,34.668,34.180,96.191,26.367,-0.977,0
1533222972.371,33.691,28.809,-30.762,31.738,34.668,0
1533222972.375,25.879,34.668,-424.805,31.738,91.797,0
1533222972.378,22.949,38.086,-405.762,26.855,8.789,0
1533222972.382,29.297,37.109,-198.730,27.832,-4.883,0
1533222972.386,39.551,36.621,4.395,30.762,22.949,0
1533222972.390,40.039,38.086,-95.215,35.156,12.695,0
1533222972.394,23.438,40.527,-354.492,27.344,41.016,0
1533222972.398,16.602,39.551,-466.309,15.137,45.410,0
1533222972.402,24.414,37.598,-446.289,17.578,44.434,0
1533222972.406,32.715,35.156,-140.625,19.043,21.973,0
1533222972.410,32.715,34.668,-41.504,14.648,15.137,0
1533222972.414,14.648,34.180,-459.961,7.324,19.531,0
1533222972.417,8.301,37.598,-565.918,2.441,23.438,0
1533222972.421,20.020,41.992,-350.098,9.766,-22.461,0
1533222972.425,27.344,40.527,-33.691,14.648,12.695,0
1533222972.429,32.227,40.039,-22.461,16.113,70.312,0
1533222972.433,33.203,42.480,-343.262,20.508,64.453,0
1533222972.437,14.648,35.156,-513.184,20.996,67.871,0
1533222972.441,7.324,27.832,-463.379,23.438,39.062,0
1533222972.445,31.738,27.344,-159.668,31.250,107.910,0
1533222972.449,36.621,28.809,-141.113,27.832,85.449,0
1533222972.453,17.090,30.273,-551.270,13.184,-16.113,0
1533222972.457,4.883,32.227,-613.281,6.836,-4.883,0
1533222972.460,14.648,34.180,-363.281,13.672,19.531,0
1533222972.464,35.156,36.133,-176.758,24.414,44.434,0
1533222972.468,39.551,37.109,-78.613,32.227,65.430,0
1533222972.472,33.203,33.203,-364.258,32.715,29.297,0
1533222972.476,23.926,32.227,-650.391,30.762,-15.137,0
1533222972.480,19.531,34.668,-551.758,28.320,15.137,0
1533222972.484,20.020,32.715,-308.594,26.367,20.020,0
1533222972.488,23.438,33.691,-189.453,26.855,-41.016,0
1533222972.492,22.461,33.691,-312.988,22.461,52.734,0
1533222972.496,14.160,35.156,-620.605,14.648,118.164,0
1533222972.500,15.625,37.109,-727.051,15.625,20.020,0
1533222972.503,24.414,32.715,-412.109,18.066,-2.441,0
1533222972.507,27.344,30.762,-92.773,15.625,37.109,0
1533222972.511,20.508,33.203,-329.102,14.160,61.035,0
1533222972.515,21.484,33.203,-656.250,10.254,7.324,0
1533222972.519,19.531,31.738,-633.789,10.742,-17.090,0
1533222972.523,20.508,29.785,-437.500,9.766,-3.906,0
1533222972.527,31.250,28.809,-172.363,8.301,1.465,0
1533222972.531,36.621,30.762,-417.969,11.719,-15.137,0
1533222972.535,26.855,28.320,-713.379,10.254,-2.441,0
1533222972.539,18.555,28.809,-548.828,7.324,63.477,0
1533222972.542,32.227,29.785,-481.934,7.812,27.832,0
1533222972.546,44.922,32.227,-233.398,9.277,-6.836,0
1533222972.550,42.969,36.133,-236.328,15.137,17.090,0
1533222972.554,29.785,38.086,-607.422,12.695,9.766,0
1533222972.558,30.273,40.527,-545.410,10.254,-1.953,0
1533222972.562,36.133,38.574,-319.824,11.719,-3.418,0
1533222972.566,45.898,40.527,-86.426,15.137,24.902,0
1533222972.570,47.363,41.504,-145.020,23.438,36.621,0
1533222972.574,31.250,34.180,-448.730,22.461,20.508,0
1533222972.578,27.344,36.621,-543.945,18.555,-4.883,0
1533222972.582,34.180,40.039,-383.301,19.043,-25.879,0
1533222972.585,45.410,38.086,-86.914,23.438,17.090,0
1533222972.589,45.410,37.598,-124.023,25.879,3.418,0
1533222972.593,34.180,34.668,-360.352,23.926,-12.695,0
1533222972.597,22.461,33.203,-397.949,19.043,21.973,0
1533222972.601,21.484,34.180,-214.355,14.648,62.012,0
1533222972.605,23.438,30.273,-19.043,13.184,-4.883,0
1533222972.609,14.160,22.949,26.855,10.742,-37.598,0
1533222972.613,4.395,23.926,-189.941,14.648,35.156,0
1533222972.617,-3.418,24.414,-369.141,12.207,18.066,0
1533222972.621,-0.977,23.438,-281.738,6.348,-14.160,0
1533222972.625,7.324,21.973,-8.789,9.277,-5.371,0
1533222972.628,9.277,22.461,102.051,15.625,-19.531,0
1533222972.632,5.371,26.855,-126.953,14.160,27.832,0
1533222972.636,1.465,28.320,-402.832,13.184,29.297,0
1533222972.640,3.906,26.367,-274.414,14.160,25.879,0
1533222972.644,15.137,25.879,28.320,12.695,37.598,0
1533222972.648,27.832,31.250,203.125,13.672,37.109,0
1533222972.652,14.160,31.738,-99.609,15.625,50.293,0
1533222972.656,-1.953,32.715,-413.574,17.090,69.336,0
1533222972.660,7.324,33.203,-148.438,17.090,71.777,0
1533222972.664,31.738,32.227,87.891,19.531,-14.160,0
1533222972.667,45.410,35.156,236.328,26.855,-21.973,0
1533222972.671,37.109,34.668,6.836,29.297,-31.738,0
1533222972.675,21.484,34.180,-230.957,27.832,-4.883,0
1533222972.679,18.066,30.762,-230.469,25.391,13.672,0
1533222972.683,32.227,30.273,-93.262,21.484,-9.277,0
1533222972.687,43.457,33.691,169.922,30.273,8.789,0
1533222972.691,38.086,32.715,-16.602,37.109,-19.531,0
1533222972.695,20.996,32.715,-334.961,30.762,-49.316,0
1533222972.699,14.160,33.691,-171.387,23.926,19.043,0
1533222972.703,27.832,32.715,34.180,27.832,21.484,0
1533222972.707,39.062,33.203,295.898,33.203,23.926,0
1533222972.710,36.621,33.691,114.746,25.879,29.297,0
1533222972.714,28.320,39.062,-202.148,17.090,21.484,0
1533222972.718,17.090,40.527,-210.449,16.113,47.363,0
1533222972.722,26.367,40.527,-38.574,13.184,34.668,0
1533222972.726,50.293,46.387,217.285,24.414,26.367,0
1533222972.730,40.527,43.945,29.785,24.414,-3.906,0
1533222972.734,9.766,40.039,-237.793,13.184,32.715,0
1533222972.738,3.906,37.598,-137.695,10.742,57.129,0
1533222972.742,8.789,33.203,14.648,8.789,28.809,0
1533222972.746,14.160,30.273,247.559,14.648,28.320,0
1533222972.750,4.395,26.367,220.215,20.020,78.125,0
1533222972.753,-8.301,26.855,-145.020,19.531,75.195,0
1533222972.757,-7.324,25.879,-277.344,13.672,7.812,0
1533222972.761,0.488,23.926,-46.387,16.602,3.906,0
1533222972.765,11.230,29.297,255.859,20.020,20.996,0
1533222972.769,14.648,28.809,203.613,19.043,4.395,0
1533222972.773,4.395,23.926,-95.215,19.043,10.254,0
1533222972.777,-2.930,25.391,-269.531,20.020,-0.977,0
1533222972.781,5.859,23.926,-126.465,20.996,16.113,0
1533222972.785,19.531,26.367,242.188,25.879,49.805,0
1533222972.789,20.996,29.297,324.707,29.297,48.340,0
1533222972.792,12.695,27.832,-200.684,27.344,-3.418,0
1533222972.796,0.977,26.855,-380.371,23.438,-48.828,0
1533222972.800,7.812,32.227,21.484,23.926,28.320,0
1533222972.804,19.043,33.203,209.961,21.973,47.363,0
1533222972.808,26.367,30.762,270.508,20.996,44.434,0
1533222972.812,17.090,30.762,-18.066,25.879,94.238,0
1533222972.816,5.371,30.273,-287.598,20.020,81.055,0
1533222972.820,1.465,26.367,-124.023,15.625,95.703,0
1533222972.824,4.883,24.414,22.461,16.602,46.387,0
1533222972.828,11.230,25.391,201.660,12.207,35.156,0
1533222972.832,10.254,25.391,-74.219,10.254,0.977,0
1533222972.835,0.488,23.926,-364.258,8.301,-56.152,0
1533222972.839,-5.371,22.461,-22.461,9.277,43.945,0
1533222972.843,6.836,22.949,186.523,19.043,56.641,0
1533222972.847,20.996,25.391,260.742,22.949,27.832,0
1533222972.851,20.996,25.879,34.180,22.949,37.598,0
1533222972.855,15.625,32.227,-245.117,20.996,32.227,0
1533222972.859,12.207,33.203,-234.863,12.695,-0.488,0
1533222972.863,14.648,28.320,20.996,11.230,-7.812,0
1533222972.867,16.602,27.832,261.719,5.859,23.926,0
1533222972.871,3.418,27.344,5.371,0.488,28.809,0
1533222972.875,-5.859,30.762,-331.055,-1.465,-17.090,0
1533222972.878,-22.949,25.879,-225.586,-19.531,-17.090,0
1533222972.882,-31.250,25.391,87.402,-30.762,2.441,0
1533222972.886,-32.715,26.367,349.121,-38.574,5.859,0
1533222972.890,-59.570,22.461,118.652,-63.477,7.324,0
1533222972.894,-90.332,20.996,-232.910,-86.426,46.387,0
1533222972.898,-107.422,17.578,-129.883,-96.680,41.016,0
1533222972.902,-107.422,14.160,101.562,-103.516,12.695,0
1533222972.906,-104.492,18.066,311.523,-118.164,37.598,0
1533222972.910,-122.559,24.414,208.496,-138.184,52.734,0
1533222972.914,-143.555,25.879,-68.848,-149.902,104.004,0
1533222972.917,-156.738,22.949,-230.469,-160.156,46.387,0
1533222972.921,-159.668,20.996,-46.387,-165.039,-19.043,0
1533222972.925,-154.297,19.043,303.711,-164.551,-14.160,0
1533222972.929,-161.621,16.602,299.805,-166.992,10.742,0
1533222972.933,-162.109,19.043,-94.727,-166.992,32.227,0
1533222972.937,-164.062,21.484,-133.301,-172.363,64.941,0
1533222972.941,-161.621,20.996,156.738,-172.852,61.035,0
1533222972.945,-137.695,20.508,309.082,-166.016,11.230,0
1533222972.949,-130.859,25.879,313.965,-164.551,29.785,0
1533222972.953,-142.090,35.156,9.277,-161.133,59.082,0
1533222972.957,-143.066,35.645,-142.578,-154.785,58.105,0
1533222972.960,-132.812,34.668,-57.129,-143.555,9.766,0
1533222972.964,-110.840,39.551,173.828,-124.023,28.809,0
1533222972.968,-99.121,39.551,240.723,-113.770,73.242,0
1533222972.972,-107.422,34.180,-24.414,-109.863,24.414,0
1533222972.976,-95.703,37.109,-119.141,-99.609,61.523,0
1533222972.980,-81.055,39.062,-47.852,-96.191,66.406,0
1533222972.984,-68.848,35.156,103.516,-87.402,-6.348,0
1533222972.988,-43.945,40.039,291.504,-65.430,-5.371,0
1533222972.992,-47.852,40.039,-97.656,-54.199,-11.719,0
1533222972.996,-45.898,36.133,-331.055,-46.875,22.949,0
1533222973.000,-21.973,39.062,-66.895,-28.809,17.578,0
1533222973.003,-2.930,39.062,126.953,-17.578,-6.348,0
1533222973.007,13.184,33.691,246.582,-6.836,0.000,0
1533222973.011,21.484,35.645,-172.363,7.324,-34.180,0
1533222973.015,15.625,40.039,-410.645,15.137,-4.883,0
1533222973.019,20.508,37.598,-97.168,24.902,35.156,0
1533222973.023,48.828,38.086,139.648,41.992,35.645,0
1533222973.027,63.965,45.410,259.766,49.805,61.035,0
1533222973.031,59.570,46.387,-29.785,56.152,16.602,0
1533222973.035,50.781,40.039,-282.227,63.477,22.949,0
1533222973.039,57.129,39.062,-278.809,68.359,30.762,0
1533222973.042,78.125,40.039,-45.898,71.777,13.184,0
1533222973.046,89.355,38.574,178.711,77.148,-22.461,0
1533222973.050,91.797,38.574,-18.555,82.520,-6.836,0
1533222973.054,82.520,43.457,-277.344,81.055,47.852,0
1533222973.058,81.055,43.457,-331.543,83.496,23.438,0
1533222973.062,97.168,40.039,-106.934,91.309,25.391,0
1533222973.066,104.980,41.992,216.309,94.727,-3.906,0
1533222973.070,105.469,43.457,104.492,101.074,1.953,0
1533222973.074,97.656,39.062,-363.770,98.145,25.879,0
1533222973.078,98.633,41.992,-266.113,91.309,23.926,0
1533222973.082,107.422,41.992,49.805,100.098,51.270,0
1533222973.085,114.258,37.598,184.082,106.934,12.695,0
1533222973.089,110.840,43.945,101.562,104.980,1.953,0
1533222973.093,104.004,44.922,-199.219,99.609,71.777,0
1533222973.097,100.586,41.992,-321.289,101.562,43.945,0
1533222973.101,106.934,43.457,-104.492,103.516,18.066,0
1533222973.105,122.070,47.363,137.207,107.910,57.129,0
1533222973.109,117.188,49.805,83.008,114.258,41.016,0
1533222973.113,102.539,48.828,-297.363,106.445,15.625,0
1533222973.117,107.422,51.758,-323.242,103.027,35.645,0
1533222973.121,114.746,52.246,-6.348,100.098,-18.066,0
1533222973.124,118.652,49.316,216.309,97.656,-5.859,0
1533222973.128,115.723,44.434,207.520,98.145,61.035,0
1533222973.132,100.098,45.898,-156.738,93.262,54.199,0
1533222973.136,88.379,49.316,-326.172,89.355,28.809,0
1533222973.140,92.773,47.363,-164.551,94.238,29.785,0
1533222973.144,99.609,44.922,102.539,94.727,30.273,0
1533222973.148,99.609,46.387,133.301,95.703,-0.488,0
1533222973.152,99.609,48.828,-216.797,98.145,20.020,0
1533222973.156,88.867,45.898,-431.641,89.355,11.230,0
1533222973.160,85.449,43.457,-188.477,85.449,0.488,0
1533222973.164,98.633,42.480,152.344,88.379,42.969,0
1533222973.167,93.262,37.109,231.445,82.520,75.195,0
1533222973.171,76.172,39.062,-240.234,78.125,27.832,0
1533222973.175,70.801,43.457,-462.402,82.520,19.531,0
1533222973.179,74.219,40.527,-137.207,80.566,94.238,0
1533222973.183,79.102,38.574,44.922,74.707,65.430,0
1533222973.187,79.590,38.086,128.906,74.707,44.434,0
1533222973.191,73.242,37.109,-147.461,72.266,27.344,0
1533222973.195,62.988,36.621,-450.684,70.312,-62.500,0
1533222973.199,63.965,41.504,-403.320,66.406,-48.828,0
1533222973.203,77.637,42.969,-69.824,63.965,4.883,0
1533222973.207,84.961,40.039,207.520,65.430,37.109,0
1533222973.210,76.660,40.039,-147.461,63.477,17.090,0
1533222973.214,72.754,45.410,-395.508,63.477,53.223,0
1533222973.218,72.266,44.434,-250.977,62.500,108.887,0
1533222973.222,74.707,41.016,-141.113,60.547,4.883,0
1533222973.226,80.078,45.410,46.387,61.035,-50.781,0
1533222973.230,76.660,44.922,-127.930,65.430,-19.043,0
1533222973.234,68.848,42.969,-433.594,62.012,25.879,0
1533222973.238,63.965,42.969,-357.422,56.152,18.066,0
1533222973.242,68.848,43.945,-118.652,58.105,20.508,0
1533222973.246,82.031,47.363,12.695,62.012,30.762,0
1533222973.249,80.078,48.828,-155.762,65.918,28.320,0
1533222973.253,67.383,47.852,-363.770,57.617,34.180,0
1533222973.257,60.547,45.898,-324.707,47.363,22.949,0
1533222973.261,73.730,44.922,-162.109,54.688,-28.320,0
1533222973.265,79.590,40.527,40.527,59.570,0.488,0
1533222973.269,61.523,38.086,38.574,55.176,68.848,0
1533222973.273,46.387,40.527,-473.633,46.387,20.020,0
1533222973.277,46.387,38.574,-558.594,39.551,-26.855,0
1533222973.281,52.734,40.039,-43.457,39.551,-27.344,0
1533222973.285,62.012,42.969,180.664,37.598,1.953,0
1533222973.289,58.594,38.086,77.637,41.992,11.719,0
